"Unique ID	Part Number	Description	Type	Hrs Interval	Month	Qty	Spare qty	Price	Unit of Measure	Min	Median	Max",,
"UID-A-000015	021-335-1	Tire 19.5x6.75-8 (main)	Consumable			4	8	247	EACH	303.2073833	544.3717597	694.1504539",,
"UID-A-000056	100942AG0206-13	Spring ( Evap)	Consumable			2	2	24.18	EACH	396.6687269	417.9905455	618.8779524",,
"UID-A-000057	100942AG0206-156	Spring ( Evap)	Consumable			1	2	2.65	EACH	408.3059478	475.1816978	562.1472109",,
"UID-A-000079	101-120108-127	Seal	Consumable			1	8	33.91	EACH	284.6546747	541.2667551	792.8809386",,
"UID-A-000080	101-120108-151	Seal	Consumable			1	2	76.26	EACH	477.6183141	502.1765662	547.3989906",,
"UID-A-000082	101-120108-77	Seal	Consumable				8	39.89	EACH	255.1611939	439.0903784	541.7080657",,
"UID-A-000118	101-380053-11	Static Wick	Consumable				10	27.02	EACH	472.6470208	581.3361538	713.5838923",,
"UID-A-000119	101-380053-9	Static Wick	Consumable				10	68.58	EACH	413.2493233	436.1687388	615.8367493",,
"UID-A-000121	101-380065-11	Bulb-Light-spar cover	Consumable				2	226.93	EACH	390.5421159	481.3342749	712.7909728",,
"UID-A-000433	2488294	filter	Consumable	1000			2	636.86	Each	361.201543	502.1193263	530.2317681",,
"UID-A-000468	30100043	APU fire bottle	Consumable				1	12882	Each	328.2715488	480.9995133	501.9585555",,
"UID-A-000471	3010880	Gasket	Consumable	200			8	2.8	EACH	454.9443179	546.7749166	808.0918867",,
"UID-A-000732	645001RR151	o-ring	Consumable	1000			2	56	Each	421.616654	528.5253326	791.2861773",,
"UID-A-000780	7586835	filter	Consumable	5000	18		2	92.53	Each	280.6278834	502.3860716	598.7546179",,
"UID-A-000781	7586837	filter	Consumable	5000	18		4	73.64	Each	511.7005269	567.130953	842.7580437",,
"UID-A-000989	AS3208-05	o-ring	Consumable	1000			2	0.1	Each	295.7228558	441.1821945	653.9682076",,
"UID-A-001268	MS24665-132	Cotter Pin	Consumable	200			10	0.01	EACH	450.4168193	585.7795526	612.5640798",,
"UID-A-001272	MS24665-355	Cotter Pin	Consumable	200			10	0.03	EACH	575.1071265	588.4845641	646.9453016",,
"UID-A-001274	MS24665-428	Cotter Pin	Consumable	200			20	0.06	EACH	487.5721257	599.5450263	840.6178506",,
"UID-A-000228	102A10001-15	Packing	Consumable				2	13.66	EACH	294.2722677	438.3336544	569.7541075",,
"UID-A-000229	102A10001-16	Packing	Consumable				2	7.45	EACH	311.86548	458.9924249	652.8347053",,
"UID-A-000245	106200H24-14	Hose	Consumable				2	40.29	EACH	429.6973709	593.1266394	722.8243337",,
"UID-A-000297	12TW401?7	switch	Consumable				2	38.42	EACH	425.5735964	467.1092495	673.5235042",,
"UID-A-001342	MS28778-10	o-ring	Consumable	200			2	0.26	EACH	379.8276293	430.6242636	564.4733076",,
"UID-A-001345	MS28778-6	o-ring	Consumable	200			2	0.31	EACH	361.6082473	535.5539029	771.5671928",,
"UID-A-000328	130909B12	Bolt	Consumable				10	0.21	EACH	388.7221497	569.9894043	842.4006916",,
"UID-A-000329	130909B14	Bolt	Consumable				10	0.28	EACH	403.9629875	434.6555948	475.3040588",,
"UID-A-000330	130909B17	Bolt	Consumable				5	0.4	EACH	334.2093079	490.9135982	733.8815029",,
"UID-A-000333	130909B34	Bolt	Consumable				5	0.4	EACH	366.5400616	567.2504198	823.0209972",,
"UID-A-000335	130909N15	Nut	Consumable				2	1.19	EACH	382.4015908	567.4812496	808.0194999",,
"UID-A-000336	130909N29	Nut	Consumable				2	0.26	EACH	450.3979586	521.7125593	592.3718966",,
"UID-A-000337	130909N32	Nut	Consumable				10	0.26	EACH	502.1105272	592.8283698	868.8919125",,
"UID-A-000338	130909S3	Screw	Consumable				5	1.4	EACH	324.8909716	592.4228372	700.514861",,
"UID-A-000342	131066-2	""Tubing"," Tygon""	Consumable					0.32	EACH	301.5188074	431.3649233	510.1422975",
"UID-A-000343	131066-4	""Tubing"," Tygon""	Consumable					0.25	EACH	354.1413087	486.260326	531.9727831",
"UID-A-000344	131066-6	""Tubing"," Tygon""	Consumable					0.16	EACH	438.7316364	449.4761142	496.2279989",
"UID-A-000345	1317	Lamp	Consumable				10	24.62	EACH	443.5356527	547.2971683	637.817778",,
"UID-A-000352	143084-6	Back-Up-Ring	Consumable				2	12.98	EACH	476.8045532	530.7331651	627.53004",,
"UID-A-000356	1450	Bulb-exit light	Consumable				1	6.47	EACH	430.1025832	501.0104887	564.8539616",,
"UID-A-000362	1495	Bulb (yoke map light)	Consumable				1	7.41	EACH	376.9046057	503.7143046	506.6640666",,
"UID-A-000363	1495X	Bulb	Consumable				1	39.26	EACH	448.1574124	454.6213531	567.4076615",,
"UID-A-000368	15-423	Gasket fuel Probe (all O/B wing & some I/B wing )	Consumable				4	1.92	EACH	303.3769804	514.8454909	591.9935714",,
"UID-A-000374	1619	Lamp	Consumable				10	5.31	EACH	317.8745116	423.3490607	425.1548486",,
"UID-A-000376	1683	Bulb- tail nav light	Consumable				1	9.48	EACH	457.3205751	595.2703132	634.3608067",,
"UID-A-000385	1864	Bulb- door lock handle	Consumable				1	2.24	EACH	265.0911722	411.5127268	424.5744948",,
"UID-A-000386	1873	Bulb-cabin door	Consumable				1	2.56	EACH	514.3746314	574.4492594	685.9894682",,
"UID-A-000398	1N2222A	Diode	Consumable				1	0.45	EACH	524.4219087	539.7375181	642.5781379",,
"UID-A-000399	1N4002	Diode	Consumable				1	0.02	EACH	386.8455449	515.8139116	531.721775",,
"UID-A-000400	1N4005	Diode	Consumable				1	0.02	EACH	408.1672343	473.0828798	510.4525256",,
"UID-A-000401	1N4006	Diode	Consumable				1	0.02	EACH	298.4281937	406.1146853	543.7877146",,
"UID-A-000402	1N4753	Diode	Consumable				1	0.02	EACH	405.3547066	508.9279663	614.9211981",,
"UID-A-000403	1N4937	Diode	Consumable				1	0.02	EACH	279.7306288	549.8284529	571.5278217",,
"UID-A-000422	2?1565	brake assy	Aircraft Part				4	35750	EACH	502.8454502	541.3850128	546.030733",,
"UID-A-000436	2673	Plug (elevator)	Consumable				4	1.5	EACH	345.4373946	407.2088087	465.7326861",,
"UID-A-000439	27ET1T2P	switch	Consumable				2	1065	EACH	409.1880702	545.4145014	560.9244499",,
"UID-A-000460	2N3055	Transistor	Consumable				2	3.99	EACH	478.0360874	568.8860793	608.3927763",,
"UID-A-000476	3012675	Nut	Consumable				10	7	EACH	399.9296361	510.71667	706.8591548",,
"UID-A-000477	3014227	Packing	Consumable				2	17.92	EACH	427.0517761	593.0913173	849.61739",,
"UID-A-000486	303	Bulb- overhead flood light	Consumable				1	3.76	EACH	433.2464932	443.4249825	464.0194921",,
"UID-A-000517	3102933-04	""Bolt"," Tee""	Consumable				10	11.15	EACH	394.3723708	580.1838795	819.7407859",
"UID-A-000519	3105135-01	""Washer"," Thermo-Couple""	Consumable				4	5.6	EACH	406.8583567	598.2089906	780.5385716",
"UID-A-000535	327	Bulb- Annunciator	Consumable				5	1.94	EACH	438.9092481	584.3697717	794.9547509",,
"UID-A-000536	328	Bulb- Annunciator	Consumable				5	2.13	EACH	289.2416449	406.0827984	559.0697456",,
"UID-A-000537	330865	Grommet (for wing fuel probes)	Consumable				4	5.22	EACH	454.4275534	471.2049103	514.8319939",,
"UID-A-000557	34-0226010-91	Bulb Anti-collision Beacon	Consumable				1	37.45	EACH	419.8504458	463.2492038	558.5445776",,
"UID-A-000558	34-0228070-67	Bulb	Consumable				1	31.22	EACH	564.2579594	589.149202	712.93121",,
"UID-A-000559	34-0428070-64	Bulb	Consumable				1	22.66	EACH	495.5774381	571.615353	799.4489088",,
"UID-A-000567	387	Bulb- Annunciator	Consumable				5	1.06	EACH	359.1921995	465.9468767	509.4201286",,
"UID-A-000569	3-904C1124-70	Packing	Consumable				10	0.57	EACH	323.881521	443.14007	591.8255249",,
"UID-A-000571	3E2090-1	Prop Brush Block Deice	Consumable				4	44.5	EACH	388.4982841	506.6208466	667.4433578",,
"UID-A-000581	425	Bulb-exit light	Consumable				1	0.88	EACH	298.5662644	461.9663358	671.197294",,
"UID-A-000592	4-51864-1	""AMP RING TERMINAL"," BLUE""	Consumable				25	0.29	EACH	343.3062186	471.9234817	645.683857",
"UID-A-000599	4587	lamp taxi light	Consumable				10	28.42	EACH	468.162968	480.7150497	601.1105606",,
"UID-A-000600	4587	Bulb (taxi light)	Consumable				1	28.42	EACH	293.1849977	472.1905941	588.914272",,
"UID-A-000601	4596	Bulb (Landing light)	Consumable				1	9.48	EACH	314.3678131	518.0697028	558.5189283",,
"UID-A-000672	50-921582-1	Gasket fuel Probe (nacelle tank)	Consumable				2	19.73	EACH	350.3790644	568.9821793	812.7111728",,
